route_name,route_link,busname,bustype,departing_time,duration,reaching_time,star_rating,price,seats_available
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 789,Super Fast Non AC Seater (2+3),2024-07-17 20:00:00,08h 25m,2024-07-18 04:25:00,3.6,473.0,8
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 1586,Super Deluxe Non AC Seater Air Bus (2+2),2024-07-17 21:31:00,09h 05m,2024-07-18 06:36:00,3.2,640.0,24
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 2133,Swift Deluxe Non AC Air Bus (2+2),2024-07-17 22:12:00,09h 24m,2024-07-18 07:36:00,2.7,640.0,18
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 574,Super Deluxe Non AC Seater Air Bus (2+2),2024-07-17 23:00:00,10h 30m,2024-07-18 09:30:00,3.7,469.0,12
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 583,Super Deluxe Non AC Seater Air Bus (2+2),2024-07-17 23:30:00,10h 05m,2024-07-18 09:35:00,3.9,469.0,14
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,KSRTC (Kerala) - 56,SWIFT-GARUDA A/C SEATER BUS,2024-07-17 23:41:00,09h 24m,2024-07-18 09:05:00,3.8,627.0,18
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,MMK Travels,VE A/C Seater / Sleeper (2+1),2024-07-17 22:30:00,09h 00m,2024-07-18 07:30:00,4.4,700.0,9
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,NS Transports,Non A/C Seater / Sleeper (2+1),2024-07-17 21:45:00,08h 25m,2024-07-18 06:10:00,4.2,649.0,6
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,NS Transports,VE A/C Sleeper (2+1),2024-07-17 22:45:00,08h 45m,2024-07-18 07:30:00,4.1,900.0,3
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,AdSAAM BUS,Bharat Benz A/C Sleeper (2+1),2024-07-17 20:10:00,10h 35m,2024-07-18 06:45:00,4.3,785.0,6
